offset,c1,c2,c3,c4,backlash_arcmin,stiff_Nm_per_arcmin,ripple_urad,max_pressure_angle_deg,worst_margin_arcmin,min_curv_radius_mm,n_eng
-0.08525,-0.00574,0.02755,0.00735,-0.01368,15.261,20.23,84.06,38.66,9.320,2.642,2
-0.06982,-0.01913,-0.02549,-0.01069,-0.00351,15.274,33.51,19.86,54.27,8.368,2.650,4
-0.09625,-0.01992,0.02421,0.00787,-0.01368,15.361,20.23,86.90,38.66,9.425,2.643,2
-0.08485,-0.03679,-0.03088,-0.02247,-0.01368,15.648,20.42,53.32,39.52,9.667,2.646,2
-0.06982,0.01857,0.02881,-0.00319,-0.01980,15.810,20.19,100.17,38.63,4.779,2.643,2
-0.09397,-0.02077,0.01183,0.00282,-0.01368,15.993,20.23,72.28,38.95,9.965,2.646,2
-0.07706,-0.01913,-0.01628,-0.00319,-0.00351,16.153,28.28,42.85,44.44,10.166,2.653,3
-0.09179,-0.03999,-0.00620,0.01010,0.00634,16.233,28.85,53.71,43.43,10.379,2.649,3
-0.08525,0.00617,-0.00776,0.02290,-0.00402,16.414,19.03,26.17,44.69,10.030,2.463,2
-0.09602,-0.03209,-0.01755,-0.02431,-0.02395,16.507,20.26,87.63,38.68,10.544,2.647,2
-0.09151,-0.03720,-0.01680,-0.00334,-0.00395,16.615,20.51,56.81,40.83,10.572,2.651,2
-0.07410,-0.00769,-0.02344,-0.01266,-0.01222,16.992,28.01,47.76,43.13,10.879,2.658,3
-0.08525,-0.00486,0.01578,0.00382,-0.01179,17.021,20.29,70.72,39.00,11.016,2.651,2
-0.07613,-0.00499,0.00356,0.00045,-0.00580,17.072,20.43,44.18,39.93,11.101,2.652,2
-0.08525,0.00397,0.02755,0.00735,-0.01368,17.259,20.23,81.51,38.91,11.285,2.651,2
-0.09906,-0.02027,0.01075,0.00274,-0.01368,17.469,20.26,75.00,38.97,11.441,2.652,2
-0.07680,-0.00765,-0.00776,0.00274,-0.00161,17.574,28.07,48.96,44.43,11.518,2.660,3
-0.07923,0.02362,0.03633,0.00286,-0.02107,17.949,20.11,104.06,38.62,6.924,2.651,2
-0.08623,-0.00684,0.01222,0.00697,-0.00492,18.276,20.37,52.35,39.12,12.311,2.657,2
-0.08525,-0.00722,-0.00295,-0.01145,-0.01622,18.280,20.29,73.53,39.03,12.287,2.656,2
-0.08936,-0.01992,-0.00326,0.00282,-0.00161,18.563,20.48,58.97,40.22,12.569,2.658,2
-0.09247,-0.02198,-0.00693,-0.00319,-0.00606,18.792,20.46,51.28,39.25,12.821,2.659,2
-0.09114,-0.01992,-0.00620,0.00099,-0.00399,18.906,20.47,48.70,40.46,12.804,2.660,2
-0.08525,-0.00486,0.01075,0.01365,0.00218,19.341,20.51,58.36,40.82,13.355,2.662,2
-0.08441,-0.00039,0.00722,0.00286,-0.00698,19.422,20.33,46.26,39.22,13.369,2.662,2
-0.09247,0.00316,0.02811,0.01865,-0.00402,19.954,20.30,60.09,39.09,13.880,2.664,2
-0.08780,0.00316,0.01022,0.00739,-0.00534,20.762,20.38,43.16,39.79,14.589,2.668,2
-0.09906,-0.00895,0.00356,-0.00334,-0.01368,20.830,20.28,80.25,38.77,14.773,2.666,2
-0.09151,-0.01237,-0.00693,0.00382,0.00218,21.210,28.45,40.96,44.44,15.260,2.671,3
-0.07830,0.01607,-0.00693,0.00382,0.00218,21.383,26.09,14.47,51.39,14.665,2.684,3
-0.08525,0.00745,0.00778,0.00230,-0.00580,21.478,20.39,45.68,39.27,15.427,2.670,2
-0.09906,-0.00499,0.00356,-0.00334,-0.01368,21.622,20.25,75.12,38.80,15.542,2.670,2
-0.08880,0.00103,-0.00693,-0.01738,-0.01545,21.831,20.28,79.07,38.92,15.907,2.669,2
-0.09114,0.01058,0.01572,-0.00250,-0.01321,21.905,20.22,94.79,38.46,16.006,2.669,2
-0.08525,0.00708,0.00356,0.00045,-0.00580,21.909,20.44,45.07,39.88,15.779,2.672,2
-0.08032,0.01607,-0.00693,0.00395,0.00218,21.956,26.09,17.34,51.03,15.239,2.686,3
-0.09414,-0.01752,-0.01663,-0.01069,-0.00351,21.957,28.78,52.55,42.21,16.106,2.670,3
-0.09275,0.01046,0.00422,-0.01668,-0.02371,22.151,20.20,104.39,38.41,15.216,2.669,2
